Country,Species,Number of critically endangered indigenous species,Number of critically endangered species,Number of endangered indigenous species,Number of endangered species,Number of vulnerable indigenous species,Number of vulnerable species,Threatened indigenous species as % of indigenous spec.,Threatened species as % of known species,Total number of indigenous known species,Total number of indigenous threatened species,Total number of known species,Total number of threatened species
Austria,Lichens,57.0,57.0,135.0,135.0,251.0,251.0,21.095,21.095,2100.0,443.0,2100.0,443.0
Austria,Mammals,4.0,4.0,6.0,6.0,17.0,17.0,26.733,26.733,101.0,27.0,101.0,27.0
Austria,Mosses,34.0,34.0,69.0,69.0,135.0,135.0,23.425,23.425,1016.0,238.0,1016.0,238.0
Austria,Reptiles,3.0,3.0,3.0,3.0,3.0,3.0,64.286,64.286,14.0,9.0,14.0,9.0
Austria,Vascular plants,172.0,172.0,348.0,348.0,465.0,465.0,33.39,33.39,2950.0,985.0,2950.0,985.0
Belgium,Amphibians,3.0,3.0,3.0,3.0,,,37.5,31.579,16.0,6.0,19.0,6.0
Belgium,Birds,20.0,20.0,15.0,15.0,20.0,20.0,30.899,27.778,178.0,55.0,198.0,55.0
Belgium,Fish,3.0,3.0,4.0,4.0,22.0,22.0,23.577,20.423,123.0,29.0,142.0,29.0
Belgium,Freshwater Fish,1.0,1.0,1.0,1.0,13.0,13.0,62.5,34.884,24.0,15.0,43.0,15.0
Belgium,Invertebrates,135.0,135.0,201.0,201.0,230.0,230.0,10.828,10.806,5227.0,566.0,5238.0,566.0
Belgium,Lichens,,,,,,,59.069,59.069,838.0,495.0,838.0,495.0
Belgium,Mammals,4.0,4.0,2.0,2.0,12.0,12.0,27.692,21.429,65.0,18.0,84.0,18.0
Belgium,Marine Fish,2.0,2.0,3.0,3.0,9.0,9.0,14.141,14.141,99.0,14.0,99.0,14.0
Belgium,Mosses,,,,,,,26.871,26.871,521.0,140.0,521.0,140.0
Belgium,Reptiles,,,2.0,2.0,2.0,2.0,57.143,40.0,7.0,4.0,10.0,4.0
Belgium,Vascular plants,253.0,253.0,107.0,107.0,63.0,63.0,29.416,23.267,1438.0,423.0,1818.0,423.0
Brazil,Amphibians,,18.0,,12.0,,11.0,,4.333,,,877.0,38.0
Brazil,Birds,,42.0,,71.0,,120.0,,,,,,234.0
Brazil,Fish,,135.0,,126.0,,148.0,,,,,,409.0
Brazil,Freshwater Fish,,101.0,,112.0,,98.0,,,,,,311.0
Brazil,Invertebrates,,101.0,,104.0,,94.0,,,,,,299.0
Brazil,Mammals,,12.0,,43.0,,55.0,,,,,,110.0
Brazil,Marine Fish,,34.0,,14.0,,50.0,,,,,,98.0
Brazil,Reptiles,,10.0,,50.0,,20.0,,,,,,80.0
Canada,Amphibians,2.0,2.0,5.0,5.0,9.0,9.0,34.043,34.043,47.0,16.0,47.0,16.0
Canada,Birds,26.0,26.0,14.0,14.0,48.0,48.0,13.253,13.056,664.0,88.0,674.0,88.0
Canada,Fish,9.0,9.0,25.0,25.0,54.0,54.0,6.466,6.395,1361.0,88.0,1376.0,88.0
Canada,Freshwater Fish,6.0,6.0,14.0,14.0,16.0,16.0,24.0,21.818,150.0,36.0,165.0,36.0
Canada,Invertebrates,205.0,205.0,295.0,295.0,765.0,765.0,6.69,6.345,18908.0,1265.0,19938.0,1265.0
Canada,Lichens,70.0,70.0,51.0,51.0,63.0,63.0,21.495,21.47,856.0,184.0,857.0,184.0
Canada,Mammals,11.0,11.0,10.0,10.0,31.0,31.0,24.88,23.529,209.0,52.0,221.0,52.0
Canada,Marine Fish,3.0,3.0,11.0,11.0,38.0,38.0,4.294,4.294,1211.0,52.0,1211.0,52.0
Canada,Mosses,75.0,75.0,85.0,85.0,134.0,134.0,21.554,21.413,1364.0,294.0,1373.0,294.0
Canada,Reptiles,5.0,5.0,6.0,6.0,15.0,15.0,60.465,57.778,43.0,26.0,45.0,26.0
Canada,Vascular plants,315.0,315.0,325.0,325.0,467.0,467.0,28.605,21.35,3870.0,1107.0,5185.0,1107.0
Chile,Amphibians,10.0,10.0,23.0,23.0,11.0,11.0,68.75,67.692,64.0,44.0,65.0,44.0
Chile,Birds,2.0,2.0,25.0,25.0,19.0,19.0,9.237,9.02,498.0,46.0,510.0,46.0
Chile,Fish,1.0,1.0,23.0,23.0,14.0,14.0,3.1,,1226.0,38.0,1272.0,38.0
Chile,Freshwater Fish,1.0,1.0,23.0,23.0,13.0,13.0,84.091,,44.0,37.0,72.0,37.0
Chile,Invertebrates,33.0,33.0,63.0,63.0,23.0,23.0,0.769,0.761,12047.0,119.0,12220.0,119.0
Chile,Lichens,1.0,1.0,,,1.0,1.0,,,1383.0,2.0,1383.0,2.0
Chile,Mammals,3.0,3.0,13.0,13.0,20.0,20.0,22.222,19.459,162.0,36.0,185.0,36.0
Chile,Marine Fish,,,,,1.0,1.0,0.085,,1182.0,1.0,1182.0,1.0
Chile,Mosses,1.0,1.0,4.0,4.0,4.0,4.0,0.192,0.189,907.0,9.0,923.0,9.0
Chile,Reptiles,9.0,9.0,18.0,18.0,25.0,25.0,42.623,41.935,135.0,52.0,140.0,52.0
Chile,Vascular plants,74.0,74.0,199.0,199.0,153.0,153.0,6.025,5.414,4655.0,426.0,6103.0,426.0
Colombia,Amphibians,,75.0,,123.0,,101.0,,6.651,367.0,,850.0,299.0
Colombia,Birds,13.0,16.0,20.0,40.0,16.0,80.0,62.195,7.334,82.0,49.0,1954.0,136.0
Colombia,Fish,,7.0,,10.0,,92.0,,2.662,,,4192.0,109.0
